 -6.0000000e+003  3.0000000e+002 -5.0000000e-001  2.0000000e-001  4.1910170e-005  1.3966166e-005  1.0010003e-004  0.0000000e+000
 -6.0065895e+003  3.0264835e+002 -5.1794214e-001  3.0577113e-001  2.1095212e-003  6.5834397e-004  2.2477449e-003  1.0666667e+001
 -6.0133533e+003  3.0641680e+002 -5.3293516e-001  4.1138138e-001  2.2785573e-003  6.5172010e-004  2.4078045e-003  2.1333333e+001
 -6.0202595e+003  3.1130344e+002 -5.4498760e-001  5.1678754e-001  2.5073175e-003  6.5282818e-004  2.6287488e-003  3.2000000e+001
 -6.0272768e+003  3.1730597e+002 -5.5411066e-001  6.2195957e-001  2.7709108e-003  6.5136507e-004  2.8842394e-003  4.2666667e+001
 -6.0343737e+003  3.2442163e+002 -5.6030504e-001  7.2683916e-001  3.0773477e-003  6.4654476e-004  3.1822959e-003  5.3333333e+001
 -6.0415188e+003  3.3264724e+002 -5.6358817e-001  8.3140248e-001  3.4372252e-003  6.3730361e-004  3.5335358e-003  6.4000000e+001
 -6.0486811e+003  3.4197926e+002 -5.6396952e-001  9.3560916e-001  3.8648486e-003  6.2217559e-004  3.9523026e-003  7.4666667e+001
 -6.0558293e+003  3.5241375e+002 -5.6146067e-001  1.0394209e+000  4.3799898e-003  5.9909618e-004  4.4584346e-003  8.5333333e+001
 -6.0629326e+003  3.6394636e+002 -5.5608216e-001  1.1428016e+000  5.0107576e-003  5.6508321e-004  5.0801520e-003  9.6000000e+001
 -6.0699603e+003  3.7657238e+002 -5.4784918e-001  1.2457158e+000  5.7985020e-003  5.1569380e-004  5.8589910e-003  1.0666667e+002
 -6.0768818e+003  3.9028672e+002 -5.3678094e-001  1.3481269e+000  6.8066683e-003  4.4404815e-004  6.8587116e-003  1.1733333e+002
 -6.0836670e+003  4.0508389e+002 -5.2289853e-001  1.4500011e+000  8.1378666e-003  3.3894986e-004  8.1824704e-003  1.2800000e+002
 -6.0902857e+003  4.2095809e+002 -5.0622156e-001  1.5513045e+000  9.9695885e-003  1.8094509e-004  1.0008753e-002  1.3866667e+002
 -6.0967082e+003  4.3790313e+002 -4.8677511e-001  1.6520028e+000  1.2637448e-002 -6.6890714e-005  1.2675124e-002  1.4933333e+002
 -6.1029049e+003  4.5591248e+002 -4.6457396e-001  1.7520629e+000  1.6860756e-002 -4.8395844e-004  1.6905177e-002  1.6000000e+002
